name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;702;0;885;3049;1501;3049;1707;0
header;80;144;80;185;1712;185;1712;144
A;882;208;882;236;905;236;905;208
A;730;350;730;356;736;356;736;350
A;757;351;757;367;765;367;765;351
A;1323;406;1323;421;1331;421;1331;406
A;1420;784;1420;792;1423;792;1423;784
B;1419;816;1419;834;1432;834;1432;816
B;887;885;887;912;906;912;906;885
A;1259;963;1259;975;1265;975;1265;963
C;885;1554;885;1582;905;1582;905;1554
B;1055;1902;1055;1928;1083;1928;1083;1902
B;1327;2180;1327;2198;1349;2198;1349;2180
D;889;2221;889;2247;910;2247;910;2221
A;1015;2695;1015;2701;1022;2701;1022;2695
