name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;843;0;866;3049;1353;3049;1147;0
header;74;146;74;182;1704;182;1704;146
A;1117;78;1117;89;1127;89;1127;78
A;885;216;885;242;906;242;906;216
B;884;908;884;936;906;936;906;908
C;887;1584;887;1615;909;1615;909;1584
A;1254;2003;1254;2019;1262;2019;1262;2003
B;863;2045;863;2062;872;2062;872;2045
D;894;2261;894;2289;915;2289;915;2261
A;871;2499;871;2507;878;2507;878;2499
C;1144;2593;1144;2612;1159;2612;1159;2593
A;996;2892;996;2894;998;2894;998;2892
A;896;2911;896;2912;897;2912;897;2911
